duke
g,40,0,40,0,40,40,38,40,40,40,38,34,6,35,21,14,7
fg_pct,.442,136th,.399,.415,.442,.638,.561,.439,.397,.462,.583,.356,.200,.333,0
fga,2375,1st
fg2_pct,.470,210th,.418,.424,.462,.638,.558,.439,.439,.480,.750,.423,.000,.333,0
fg2a,1593,4th
fg3_pct,.385,27th,.383,.399,.392,0,1.000,0,.379,.250,.250,.263,.500,0,0
fg3a,782,16th
ft_pct,.759,8th,.878,.798,.767,.551,.661,.743,.735,.543,0,.667,.600,.750,0
fta,899,11th
pts_per_g,77.0,28th,18.2,17.7,17.4,5.6,5.2,4.8,4.4,3.7,2.5,1.2,0.4,0.4,0.0
orb,582,2nd
drb,978,7th
ast,555,15th
stl,266,43rd
blk,162,34th
tov,440,179th
pf,722,16th
opp_fg_pct,.401,39th
opp_fg2_pct,.441,40th
opp_fg3_pct,.283,2nd
opp_orb,468,332nd
opp_drb,842,322nd
opp_ast,433,228th
opp_stl,210,163rd
opp_blk,155,339th
opp_tov,569,12th
opp_pf,784,343rd
opp_pts_per_g,61.0,28th
SOS:,9.21
ORtg:,115.8
DRtg:,91.7
arkansas-pine-bluff
g,34,0,34,0,34,28,34,33,33,34,34,19,16,6,22,29,10,17,29,18,9
fg_pct,.408,295th,.361,.353,.409,.574,.456,.472,.323,.475,.264,.500,.452,.333,.250,.357,.429,.077,.500
fga,1778,164th
fg2_pct,.445,292nd,.375,.352,.452,.633,.494,.484,.286,.491,.227,.556,.500,.333,.300,.357,.467,.000,1.000
fg2a,1312,81st
fg3_pct,.303,314th,.182,.356,.316,.160,.182,.357,.340,.333,.290,.000,.400,.333,.200,0,.333,.100,.000
fg3a,466,308th
ft_pct,.668,245th,.815,.723,.671,.645,.614,.547,.675,.700,.526,.500,.563,.533,.400,.615,.400,.625,0
fta,861,25th
pts_per_g,63.7,281st,10.2,9.9,9.9,9.5,8.2,4.9,4.8,3.9,2.9,2.2,2.0,1.8,1.4,1.1,0.8,0.4,0.2
orb,422,68th
drb,864,48th
ast,421,156th
stl,229,129th
blk,121,120th
tov,569,343rd
pf,764,5th
opp_fg_pct,.406,50th
opp_fg2_pct,.443,45th
opp_fg3_pct,.322,79th
opp_orb,321,65th
opp_drb,765,208th
opp_ast,392,128th
opp_stl,261,324th
